racename,latitude,longitude,city,state,region,date,type_mara,type_half,type_relay,type_10k,type_5k,url,source,name,desc,color,precision
Road to Carthage,40.550042,-91.384875,Nauvoo,IL,midwest,May,x,x,x,,,https://www.roadtocarthagemarathon.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Nauvoo, IL","Nauvoo, Hancock County, IL, US",,city/town
Tunnel Hill,48.208354,16.372504,Vienna,IL,midwest,November,x,,,,,https://runsignup.com/Race/IL/Vienna/TunnelHillMarathon,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Vienna, IL","Vienna, Vienna, AT",,city/town
Des Plaines River Trail Races,42.283079,-87.95313,Libertyville,IL,midwest,October,x,x,,,,http://www.desplainesrivertrailraces.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Libertyville, IL","Libertyville, Lake County, IL, US",,city/town
Chicago,41.875555,-87.624421,Chicago,IL,midwest,October,x,,,,x,https://www.chicagomarathon.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Chicago, IL","Chicago, Cook County, IL, US",,city/town
Whiskeydaddle Races,40.693861,-89.589101,Peoria,IL,midwest,October,x,x,x,,x,https://whiskeydaddle.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Peoria, IL","Peoria, Peoria County, IL, US",,city/town
Springfield,39.798976,-89.644369,Springfield,IL,midwest,October,x,x,x,,x,https://springfieldmarathon.com,http://www.findmymarathon.com/calendar-state.php?state=Illinois,"Springfield, IL","Springfield, Sangamon County, IL, US",,city/town
Shawnee,37.7385,-88.540521,Harrisburg,IL,midwest,October,x,x,,x,,http://shawneemarathon.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Harrisburg, IL","Harrisburg, Saline County, IL, US",,city/town
Last Chance BQ.2,41.887528,-88.305352,Geneva,IL,midwest,September,x,,,,,http://www.bq2races.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Geneva, IL","Geneva, Kane County, IL, US",,city/town
Fox Valley,41.913956,-88.31249,St. Charles,IL,midwest,September,x,x,,,,http://www.fv26.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"St. Charles, IL","St. Charles, Kane County, IL, US",,city/town
Quad Cities,41.5067,-90.515134,Moline,IL,midwest,September,x,x,x,,x,http://qcmarathon.org/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Moline, IL","Moline, Rock Island County, IL, US",,city/town
Belleville Main Street,38.52005,-89.983993,Belleville,IL,midwest,September,x,,,,,http://www.bellevillemarathon.com/,http://www.findmymarathon.com/calendar-state.php?state=Illinois,"Belleville, IL","Belleville, Saint Clair County, IL, US",,city/town
Martian Invasion of Races,42.32226,-83.176314,Dearborn,MI,midwest,April,x,x,,x,x,http://www.martianraces.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Dearborn, MI","Dearborn, Wayne County, MI, US",,city/town
Hurt the Dirt at Luton Park Trails,43.119721,-85.559604,Rockford,MI,midwest,April,x,x,,,,https://hurtthedirt.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Rockford, MI","Rockford, Kent County, MI, US",,city/town
Trail,42.456701,-83.946336,Pinckney,MI,midwest,April,x,x,,,,http://trailmarathon.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Pinckney, MI","Pinckney, Livingston County, MI, US",,city/town
Milennium Meadows,42.963241,-85.667864,Grand Rapids,MI,midwest,August,x,x,,,,https://runsignup.com/Race/MI/GrandRapids/MillenniumMeadowsMarathon?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Grand Rapids, MI","Grand Rapids, Kent County, MI, US",,city/town
Ground Hog,42.963241,-85.667864,Grand Rapids,MI,midwest,February,x,x,,,,http://www.groundhogmarathon.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Grand Rapids, MI","Grand Rapids, Kent County, MI, US",,city/town
Waugoshance Trail,45.783901,-84.727828,Mackinaw City,MI,midwest,July,x,x,x,,,https://www.halfmarathons.net/michigan-waugoshance-trail-marathon-half-marathon-relay/,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Mackinaw City, MI","Mackinaw City, Cheboygan County, MI, US",,city/town
Grand Island Trail,46.409777,-86.649447,Munising,MI,midwest,July,x,x,,,,https://www.greatlakesendurance.com/michigan-races/grand-island-trail-marathon.html,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Munising, MI","Munising, Alger County, MI, US",,city/town
Yankee Springs Trail,42.713089,-85.46196,Middleville,MI,midwest,June,x,x,,x,,http://switchbackendurance.com/races/yankee-springs-trail-runs/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Middleville, MI","Middleville, Barry County, MI, US",,city/town
One in Five,43.005597,-85.774191,Walker,MI,midwest,June,x,,x,x,,http://1in5marathonrelay.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Walker, MI","Walker, Kent County, MI, US",,city/town
Whitefish Point,46.627522,-85.037587,Paradise,MI,midwest,June,x,,,,,http://whitefishpointmarathon.org/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Paradise, MI","Paradise, Chippewa County, MI, US",,city/town
Charlevoix,43.621196,-84.682435,Charleviox,MI,midwest,June,x,x,,x,x,https://www.charlevoixmarathon.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Charleviox, MI","MI, US",,state/province
Two Hearted Trail,46.627522,-85.037587,Paradise,MI,midwest,June,x,x,,,,https://www.greatlakesendurance.com/michigan-races/two-hearted-trail-run.html,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Paradise, MI","Paradise, Chippewa County, MI, US",,city/town
Ann Arbor,42.268157,-83.731229,Ann Arbor,MI,midwest,March,x,x,x,x,x,https://epicraces.com/events/marathon/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Ann Arbor, MI","Ann Arbor, Washtenaw County, MI, US",,city/town
Kalamazoo,42.291707,-85.587229,Kalamazoo,MI,midwest,May,x,x,,x,x,https://thekalamazoomarathon.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Kalamazoo, MI","Kalamazoo, Kalamazoo County, MI, US",,city/town
Stafford's Top of Michigan,43.621196,-84.682435,Charleviox,MI,midwest,May,x,x,,x,x,http://www.trailscouncil.org/top-of-michigan-marathon/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Charleviox, MI","MI, US",,state/province
Traverse City Track Club Bayshore,44.760644,-85.61653,Traverse City,MI,midwest,May,x,x,,x,,https://www.bayshoremarathon.org/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Traverse City, MI","Traverse City, Grand Traverse County, MI, US",,city/town
Run the Bends,42.670219,-83.034262,Shelby Township,MI,midwest,November,x,x,,,,https://move-itfitness.com/races/run-the-bends-marathon/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Shelby Township, MI","Shelby Charter Township, Macomb County, MI, US",,city/town
Stony Creek,42.626145,-83.033538,Utica,MI,midwest,November,x,x,x,x,,http://stonycreekmarathon.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Utica, MI","Utica, Macomb County, MI, US",,city/town
Sleeping Bear,44.811108,-86.060093,Empire,MI,midwest,October,x,x,,,x,https://www.enduranceevolution.com/sleeping-bear-marathon-half-marathon-5k/,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Empire, MI","Empire, Leelanau County, MI, US",,city/town
Detroit Free Press,42.348664,-83.056737,Detroit,MI,midwest,October,x,x,x,,x,https://www.freepmarathon.com/,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Detroit, MI","Detroit, Wayne County, MI, US",,city/town
Grand Rapids,42.963241,-85.667864,Grand Rapids,MI,midwest,October,x,x,x,,,http://grandrapidsmarathon.com/,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Grand Rapids, MI","Grand Rapids, Kent County, MI, US",,city/town
Marquette,46.543491,-87.396433,Marquette,MI,midwest,September,x,x,,,x,http://marquettemarathon.com/2016website/,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Marquette, MI","Marquette, Marquette County, MI, US",,city/town
Run Woodstock Mellow,42.456701,-83.946336,Pinckney,MI,midwest,September,x,x,,,x,http://www.runwoodstock.com/,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Pinckney, MI","Pinckney, Livingston County, MI, US",,city/town
Last Chance BQ.2,42.963241,-85.667864,Grand Rapids,MI,midwest,September,x,,,,,https://runsignup.com/Race/MI/GrandRapids/LastChanceBQGR,http://www.findmymarathon.com/calendar-state.php?state=Michigan,"Grand Rapids, MI","Grand Rapids, Kent County, MI, US",,city/town
Holland Haven,42.787602,-86.109083,Holland,MI,midwest,September,x,x,,,,https://runsignup.com/Race/MI/Holland/2017HollandHavenMarathon,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Holland, MI","Holland, Ottawa County, MI, US",,city/town
Oktoberfest,43.076963,-86.196997,Spring Lake,MI,midwest,September,x,x,,,x,http://www.oktoberfestmarathon.com/,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Spring Lake, MI","Spring Lake, Ottawa County, MI, US",,city/town
Hungerford Trail,43.698078,-85.483656,Big Rapids,MI,midwest,September,x,x,,,,http://ultrasignup.com/register.aspx?did=60866,https://runningintheusa.com/classic/list/mi/upcoming/marathon,"Big Rapids, MI","Big Rapids, Mecosta County, MI, US",,city/town
Run for the Lakes,46.520522,-94.288609,Nisswa,MN,midwest,April,x,x,x,x,x,http://runforthelakes.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Nisswa, MN","Nisswa, Crow Wing County, MN, US",,city/town
Zoom! Yah! Yah! Indoor,44.458204,-93.161159,Northfield,MN,midwest,January,x,,,,,http://zoomyahyah.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Northfield, MN","Northfield, Rice County, MN, US",,city/town
Grandma's,46.772932,-92.125122,Duluth,MN,midwest,June,x,x,,,x,https://grandmasmarathon.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Duluth, MN","Duluth, Saint Louis County, MN, US",,city/town
Eugene Curnow Trail,46.772932,-92.125122,Duluth,MN,midwest,June,x,,,,,https://www.curnowmarathon.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Duluth, MN","Duluth, Saint Louis County, MN, US",,city/town
Lake Wobegon Trail,45.564965,-94.318323,St. Joseph,MN,midwest,May,x,,,,,http://www.lakewobegontrailmarathon.org/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"St. Joseph, MN","St. Joseph, Stearns County, MN, US",,city/town
Med-City,44.023327,-92.463021,Rochester,MN,midwest,May,x,x,x,,x,https://www.medcitymarathon.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Rochester, MN","Rochester, Olmsted County, MN, US",,city/town
MN Indoor,45.210202,-93.664808,St. Michael,MN,midwest,November,x,x,,x,x,https://mnindoormarathon.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"St. Michael, MN","St. Michael, Wright County, MN, US",,city/town
Twin Cities,44.950404,-93.101503,St. Paul,MN,midwest,October,x,,,x,x,https://www.tcmevents.org/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"St. Paul, MN","Saint Paul, Ramsey County, MN, US",,city/town
Bemidji Blue Ox,47.478654,-94.890802,Bemidji,MN,midwest,October,x,x,,x,x,http://www.bemidjiblueoxmarathon.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Bemidji, MN","Bemidji, Beltrami County, MN, US",,city/town
Mankato,44.163466,-93.99935,Mankato,MN,midwest,October,x,x,x,x,x,https://www.mankatomarathon.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Mankato, MN","Mankato, Blue Earth County, MN, US",,city/town
Mooose Mountain,47.647119,-90.674858,Lutsen,MN,midwest,September,x,,,,,https://www.superiorfalltrailrace.com/2018-moose-mountain-marathon-runner-welcome/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Lutsen, MN","Lutsen, Cook County, MN, US",,city/town
Walker North Country,47.101709,-94.585026,Walker,MN,midwest,September,x,x,,x,,http://walkerareacommunitycenter.com/north-country-marathon,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Walker, MN","Walker, Cass County, MN, US",,city/town
Superior Tail Fall Races,47.647119,-90.674858,Lutsen,MN,midwest,September,x,,,,,https://www.superiorfalltrailrace.com/,https://runningintheusa.com/classic/list/mn/upcoming/marathon,"Lutsen, MN","Lutsen, Cook County, MN, US",,city/town
Ely,47.903237,-91.867087,Ely,MN,midwest,September,x,x,,,x,http://www.elymarathon.com/,http://findmymarathon.com/calendar-state.php?state=Minnesota,"Ely, MN","Ely, Saint Louis County, MN, US",,city/town
Maah Daah Hey Trail,46.913903,-103.524354,Medora,ND,midwest,July,x,x,,x,x,http://www.experienceland.org/maah-daah-hey-trail-run/,https://runningintheusa.com/classic/list/nd/upcoming/marathon,"Medora, ND","Medora, Billings County, ND, US",,city/town
Fargo,46.877229,-96.789821,Fargo,ND,midwest,May,x,x,x,x,x,https://fargomarathon.com,http://www.findmymarathon.com/calendar-state.php?state=North%20Dakota,"Fargo, ND","Fargo, Cass County, ND, US",,city/town
Wild Hog,47.907824,-97.059203,Grand Forks,ND,midwest,September,x,x,x,x,x,https://www.gfmarathon.com,http://www.findmymarathon.com/calendar-state.php?state=North%20Dakota,"Grand Forks, ND","Grand Forks, Grand Forks County, ND, US",,city/town
Bismarck,46.808327,-100.783739,Bismarck,ND,midwest,September,x,x,x,x,x,https://thebismarckmarathon.com,http://www.findmymarathon.com/calendar-state.php?state=North%20Dakota,"Bismarck, ND","Bismarck, Burleigh County, ND, US",,city/town
Valley 7 Lake,41.312758,-96.345978,Valley,NE,midwest,April,x,x,x,,,https://www.valley7lakesmarathon.com/,https://runningintheusa.com/classic/list/ne/upcoming/marathon,"Valley, NE","Valley, Douglas County, NE, US",,city/town
Logan View Raider Run,41.610628,-96.547677,Hooper,NE,midwest,August,x,x,,,x,http://www.loganviewmarathon.com/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"Hooper, NE","Hooper, Dodge County, NE, US",,city/town
Nebraska State Fair,40.924271,-98.338685,Grand Island,NE,midwest,August,x,x,x,,x,http://www.statefairmarathon.org/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"Grand Island, NE","Grand Island, Hall County, NE, US",,city/town
Sandhills,42.872783,-100.550967,Valentine,NE,midwest,June,x,x,,,,http://sandhillsmarathon.net/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"Valentine, NE","Valentine, Cherry County, NE, US",,city/town
Lincoln,40.8,-96.667821,Lincoln,NE,midwest,May,x,x,,,,https://www.lincolnmarathon.org/,https://runningintheusa.com/classic/list/ne/upcoming/marathon,"Lincoln, NE","Lincoln, Lancaster County, NE, US",,city/town
Chris Jarvis Autumn RIver Run,41.123887,-100.765423,North Platte,NE,midwest,October,x,x,,,x,http://www.autumnriverrun.com/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"North Platte, NE","North Platte, Lincoln County, NE, US",,city/town
Nebraska,41.258732,-95.937873,Omaha,NE,midwest,October,x,x,,,x,https://nebraskamarathon.org/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"Omaha, NE","Omaha, Douglas County, NE, US",,city/town
Oregon Trail Run of Nebraska,40.166393,-97.585875,Hebron,NE,midwest,October,x,x,,,,http://oregontrailrun.com/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"Hebron, NE","Hebron, Thayer County, NE, US",,city/town
Platte Valley Companies Monument,41.866634,-103.667166,Scottsbluff,NE,midwest,September,x,x,,,x,http://www.monumentmarathon.com/,https://runningintheusa.com/classic/list/ne/upcoming/marathon,"Scottsbluff, NE","Scottsbluff, Scotts Bluff County, NE, US",,city/town
Omaha,41.258732,-95.937873,Omaha,NE,midwest,September,x,x,,x,x,http://omahamarathon.com/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"Omaha, NE","Omaha, Douglas County, NE, US",,city/town
Heartland,41.258732,-95.937873,Omaha,NE,midwest,September,x,x,x,x,,https://heartlandmarathon.org/,http://www.findmymarathon.com/calendar-state.php?state=Nebraska,"Omaha, NE","Omaha, Douglas County, NE, US",,city/town
Leading Ladies,44.490817,-103.85937,Spearfish,SD,midwest,August,x,x,,,,https://www.leadingladiesmarathon.com,http://findmymarathon.com/calendar-state.php?state=South%20Dakota,"Spearfish, SD","Spearfish, Lawrence County, SD, US",,city/town
Deadwood Mickelson Trail,44.376651,-103.729642,Deadwood,SD,midwest,June,x,x,x,,x,http://www.deadwoodmickelsontrailmarathon.com,http://findmymarathon.com/calendar-state.php?state=South%20Dakota,"Deadwood, SD","Deadwood, Lawrence County, SD, US",,city/town
Swan Lake,43.170266,-97.081441,Viborg,SD,midwest,June,x,x,x,,x,http://www.myslcc.com/marathon/,http://findmymarathon.com/calendar-state.php?state=South%20Dakota,"Viborg, SD","Viborg, Turner County, SD, US",,city/town
Brookings,44.311461,-96.79844,Brookings,SD,midwest,May,x,x,x,,x,http://www.brookingsmarathon.com,http://findmymarathon.com/calendar-state.php?state=South%20Dakota,"Brookings, SD","Brookings, Brookings County, SD, US",,city/town
Run Crazy Horse,43.932486,-103.575193,Hill City,SD,midwest,October,x,x,x,,x,http://www.runcrazyhorse.com,http://findmymarathon.com/calendar-state.php?state=South%20Dakota,"Hill City, SD","Hill City, Pennington County, SD, US",,city/town
Sioux Falls,43.549975,-96.700327,Sioux Falls,SD,midwest,September,x,x,x,x,x,https://siouxfallsmarathon.com,http://findmymarathon.com/calendar-state.php?state=South%20Dakota,"Sioux Falls, SD","Sioux Falls, Minnehaha County, SD, US",,city/town
Sundance to Spearfish,44.490817,-103.85937,Spearfish,SD,midwest,September,x,,,,,https://oysterriverrunningcompany.redpodium.com/sundance-to-spearfish-marathon?RL=1,http://findmymarathon.com/calendar-state.php?state=South%20Dakota,"Spearfish, SD","Spearfish, Lawrence County, SD, US",,city/town
Black Hills Veteran March,44.124325,-103.719727,Rochford,SD,midwest,September,x,,x,,,http://blackhillsveteranmarch.com/,https://runningintheusa.com/classic/list/sd/upcoming/marathon,"Rochford, SD","Rochford, Pennington County, SD, US",,city/town
Milwaukee,43.034993,-87.922497,Milwaukee,WI,midwest,April,x,x,,,x,http://runmilwaukee.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Milwaukee, WI","Milwaukee, Milwaukee County, WI, US",,city/town
Trailbreaker,43.011678,-88.231481,Waukesha,WI,midwest,April,x,x,,x,x,http://www.runthetrailbreaker.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Waukesha, WI","Waukesha, Waukesha County, WI, US",,city/town
Wausau,44.959602,-89.629824,Wausau,WI,midwest,August,x,x,x,,,https://www.visitwausau.com/wausau-marathon,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Wausau, WI","Wausau, Marathon County, WI, US",,city/town
Rockin' Chocolate,43.074761,-89.383761,Madison,WI,midwest,August,x,x,x,,,http://www.runmadcity.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Madison, WI","Madison, Dane County, WI, US",,city/town
Pettit Indoor,43.034993,-87.922497,Milwaukee,WI,midwest,January,x,x,x,,,http://www.pettitindoormarathon.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Milwaukee, WI","Milwaukee, Milwaukee County, WI, US",,city/town
HFM Maritime,44.088606,-87.657584,Manitowoc,WI,midwest,June,x,x,x,,,http://www.maritimemarathon.org/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Manitowoc, WI","Manitowoc, Manitowoc County, WI, US",,city/town
Dances with Dirt Devil's Lake,44.430898,-89.688464,Barboo,WI,midwest,June,x,x,,x,,http://www.dwddevilslake.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Barboo, WI","WI, US",,state/province
Wisconsin,42.584677,-87.821226,Kenosha,WI,midwest,May,x,x,,,x,http://wisconsinmarathon.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Kenosha, WI","Kenosha, Kenosha County, WI, US",,city/town
Eau Claire,44.811349,-91.498494,Eau Claire,WI,midwest,May,x,x,x,,x,http://www.eauclairemarathon.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Eau Claire, WI","Eau Claire, Eau Claire County, WI, US",,city/town
Journeys,45.917176,-89.244299,Eagle River,WI,midwest,May,x,x,,,x,https://eagleriver.org/featured/journeys-marathon/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Eagle River, WI","Eagle River, Vilas County, WI, US",,city/town
Madeline Island,46.779104,-90.786579,La Pointe,WI,midwest,May,x,x,,,,https://www.madelineislandmarathon.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"La Pointe, WI","La Pointe, Ashland County, WI, US",,city/town
Cellcom Green Bay,44.512638,-88.012579,Green Bay,WI,midwest,May,x,x,x,,x,http://www.cellcomgreenbaymarathon.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Green Bay, WI","Green Bay, Brown County, WI, US",,city/town
Madison,43.074761,-89.383761,Madison,WI,midwest,November,x,x,,,,http://www.madisonmarathon.org/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Madison, WI","Madison, Dane County, WI, US",,city/town
Milwaukee Lakefront,43.034993,-87.922497,Milwaukee,WI,midwest,October,x,,,,x,https://www.milwaukeelakefrontmarathon.org/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Milwaukee, WI","Milwaukee, Milwaukee County, WI, US",,city/town
Gandy Dancer Trail,45.576066,-92.4827,Luck,WI,midwest,October,x,x,x,,x,http://www.gandymarathon.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Luck, WI","Luck, Polk County, WI, US",,city/town
Whistlestop,46.592757,-90.883917,Ashland,WI,midwest,October,x,x,,x,x,https://www.whistlestopmarathon.com/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Ashland, WI","Ashland, Ashland County, WI, US",,city/town
Fox Cities,44.261134,-88.40676,Appleton,WI,midwest,September,x,x,x,,x,http://foxcitiesmarathon.org/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Appleton, WI","Appleton, Outagamie County, WI, US",,city/town
American Birkebeiner Trail,46.012968,-91.484873,Hayward,WI,midwest,September,x,x,x,,x,https://www.birkie.com/run/events/birkie-trail-run/,https://runningintheusa.com/classic/list/wi/upcoming/marathon,"Hayward, WI","Hayward, Sawyer County, WI, US",,city/town
